offset,step,support_modes,max_particle_dist,logit_gap,paired_margin,grad_ratio_d_over_g
101,21,0,2.8399,0.1564,0.0441,20.524
101,26,0,2.9984,0.1262,0.0669,7.192
101,31,0,4.6519,-0.0430,0.0226,4.116
101,36,0,3.1382,-0.0528,0.0352,6.240
101,41,0,3.2764,-0.0090,0.0744,2.540
101,46,0,2.6185,-0.0701,0.0377,3.498
101,51,0,2.5076,0.3132,0.0936,3.291
101,56,0,4.9852,0.0358,0.1127,2.537
101,61,0,3.4434,0.0296,0.0801,2.059
101,66,0,3.0739,0.1619,0.1683,5.085
101,71,0,3.2712,0.2954,0.1849,2.026
101,76,0,2.6480,0.1718,0.0582,3.070
101,81,1,2.7177,-0.0540,0.0134,5.712
101,86,0,2.8894,0.1487,0.0342,5.230
101,91,1,2.5049,0.0003,0.0315,3.118
101,96,1,3.1781,0.0775,0.0961,2.088
101,101,0,3.6612,0.0620,0.1141,1.758
101,106,0,6.6457,-0.2449,0.2950,1.375
101,111,0,2.5440,-0.1521,0.0607,3.003
101,116,1,3.9907,0.1327,0.1038,2.672
101,121,0,2.3729,-0.1615,0.1502,2.403
101,126,0,2.2612,0.4702,0.2407,6.180
101,131,0,2.2161,0.1693,0.1421,3.531
101,136,0,2.4049,-0.0655,0.0536,7.373
101,141,2,2.4652,0.2122,0.1628,2.707
101,146,0,2.7310,0.1544,0.2047,5.479
101,151,0,2.7215,0.0128,0.1928,3.667
101,156,1,4.2019,0.0197,0.2201,4.906
101,161,0,2.9077,-0.1524,0.0662,7.083
101,166,1,2.2151,0.1989,0.1002,4.822
101,171,1,3.9016,0.3778,0.1556,2.650
101,176,0,2.5783,0.0653,0.1024,1.498
101,181,0,2.2038,0.1694,0.0884,2.651
101,186,2,2.8971,0.2764,0.1490,3.232
101,191,3,1.8991,0.2605,0.1849,1.104
101,196,1,2.3066,-0.0177,0.0293,4.796
101,201,2,2.3266,0.1792,0.0909,3.730
101,206,3,2.3479,0.2717,0.1593,6.586
101,211,0,2.4063,0.1149,0.1853,2.609
101,216,0,2.2186,0.3328,0.1876,2.005
101,221,0,2.7950,0.1601,0.1379,5.720
101,226,0,2.2148,0.1607,0.1217,8.913
101,231,1,2.1089,0.3996,0.2375,9.757
101,236,1,2.2460,0.0720,0.1269,4.626
101,241,0,2.0686,0.3566,0.2369,2.291
101,246,3,2.1883,0.5154,0.1799,5.251
101,251,2,2.2805,0.8872,0.2134,7.546
101,256,4,2.2832,0.3574,0.1221,3.203
101,261,0,2.2453,0.8149,0.2220,7.074
101,266,2,2.1196,0.3795,0.1979,7.616
101,271,3,2.1311,1.0321,0.3028,3.101
101,276,1,2.2144,1.0040,0.3776,3.977
101,281,3,2.1757,0.6488,0.2133,4.321
101,286,1,2.0588,0.8833,0.2818,3.300
101,291,1,1.9731,0.2489,0.3965,1.839
101,296,1,1.9524,0.7411,0.2418,3.390
101,301,2,2.1797,0.2908,0.1524,1.738
101,306,0,2.1417,0.8768,0.2798,1.259
101,311,4,1.9761,0.6419,0.1834,4.574
101,316,4,2.1410,1.1703,0.3696,3.658
101,321,0,2.1430,1.2796,0.3963,2.793
101,326,0,1.8410,1.1582,0.3200,2.458
101,331,1,3.0354,0.4989,0.1329,3.073
101,336,0,1.8340,0.8060,0.3491,10.402
101,341,0,1.2849,0.4019,0.3259,1.483
101,346,5,1.7247,0.0570,0.1316,3.384
101,351,4,1.7343,0.1713,0.1327,3.990
101,356,0,1.5852,0.2751,0.1335,2.917
101,361,4,1.5502,0.1989,0.1506,8.668
101,366,4,1.5980,0.5408,0.1817,3.483
101,371,3,1.6456,0.5538,0.2389,3.924
101,376,0,1.6382,0.8280,0.3704,1.969
101,381,2,1.8629,0.0687,0.1474,3.069
101,386,1,1.6321,0.0581,0.1654,2.523
101,391,2,2.1849,-0.3325,0.1211,8.714
101,396,3,2.4258,-0.0847,0.0843,2.155
101,401,4,2.9412,0.0887,0.0886,4.718
101,406,2,3.2345,-0.0651,0.1364,4.228
101,411,1,2.7187,-0.9538,0.1731,15.630
101,416,2,2.5519,0.0261,0.1160,4.059
101,421,4,2.0204,-0.0422,0.0986,4.281
101,426,0,2.0494,0.2525,0.1754,2.180
101,431,5,2.4743,0.3829,0.2007,4.687
101,436,2,1.9949,0.1901,0.1534,7.674
101,441,1,1.9058,-0.2358,0.2235,7.513
101,446,3,1.6200,0.7847,0.2300,4.361
101,451,3,1.9260,0.5882,0.2447,3.790
101,456,1,2.1638,0.5498,0.2141,4.103
101,461,0,2.3047,0.5915,0.2874,4.765
101,466,1,2.0300,0.7110,0.1702,3.796
101,471,2,1.5016,0.6431,0.2311,3.886
101,476,3,1.0223,0.7824,0.2455,2.210
101,481,0,1.2734,0.9835,0.5319,0.928
101,486,1,1.8402,0.9726,0.3598,3.018
101,491,4,2.0047,0.3792,0.3144,5.552
101,496,3,1.9797,0.8184,0.2614,3.684
101,501,1,1.3399,0.7552,0.2667,3.081
101,506,3,1.3577,0.5976,0.3080,4.459
101,511,1,1.5796,0.3875,0.3087,2.183
101,516,4,1.9980,-0.0152,0.1735,6.230
101,521,2,2.7669,0.4216,0.1388,8.131
101,526,3,2.7851,0.0990,0.1499,5.319
101,531,2,2.7569,0.2404,0.2890,3.714
101,536,3,2.7048,0.0163,0.1591,6.520
101,541,6,2.6846,0.3191,0.2941,8.343
101,546,2,2.6403,0.6988,0.3316,4.852
101,551,5,2.6269,0.5391,0.2086,6.960
101,556,3,2.5031,0.6514,0.2636,5.121
101,561,6,2.5401,0.1134,0.1787,3.511
101,566,7,2.5459,0.4452,0.3445,7.606
101,571,1,2.5935,0.8974,0.2489,3.730
101,576,2,2.5836,0.0247,0.1032,2.341
101,581,1,2.6375,0.3198,0.1713,3.063
101,586,6,2.6335,0.4103,0.2380,4.754
101,591,2,2.6466,0.5219,0.3428,3.923
101,596,3,2.5654,0.8683,0.2971,2.711
101,601,3,2.4655,0.8613,0.2165,3.111
101,606,3,1.6238,0.9139,0.2008,9.935
101,611,1,2.0776,0.5647,0.2233,4.115
101,616,1,1.9370,0.4129,0.2185,7.343
101,621,2,2.5415,0.0273,0.2227,0.953
101,626,1,2.2715,0.1366,0.2038,4.631
101,631,1,3.1996,0.5305,0.3311,2.199
101,636,3,2.6925,0.4424,0.3188,4.173
101,641,3,2.9040,0.4399,0.2703,3.214
101,646,5,2.9038,0.4905,0.2370,5.843
101,651,4,2.8967,0.7322,0.1856,6.456
101,656,4,2.5572,0.7519,0.2478,4.276
101,661,1,2.0084,0.4335,0.1598,7.566
101,666,5,2.0801,0.7606,0.2883,10.194
101,671,1,1.9681,0.9676,0.3307,2.268
101,676,5,1.9304,0.8228,0.2839,6.835
101,681,2,1.7071,1.0782,0.2630,1.779
101,686,3,1.9942,1.0590,0.3100,3.505
101,691,0,1.9171,1.2423,0.3085,2.296
101,696,6,1.8261,0.9811,0.2884,7.317
101,701,2,1.9897,1.2870,0.4040,6.238
101,706,3,2.1757,1.3470,0.4375,2.091
101,711,3,3.8088,1.2684,0.4844,3.202
101,716,2,1.9904,0.5580,0.1934,1.920
101,721,0,1.9121,1.0168,0.3681,4.610
101,726,5,1.8190,0.5128,0.3307,8.943
101,731,2,1.6913,0.5397,0.2763,6.457
101,736,3,1.2513,0.1090,0.1569,5.514
101,741,5,1.0171,0.1710,0.2300,8.998
101,746,1,1.1378,-0.0071,0.0673,12.475
101,751,2,1.2843,0.0565,0.0844,9.203
101,756,4,1.0171,0.0046,0.0515,4.751
101,761,6,1.0281,-0.0040,0.0749,2.683
101,766,4,0.8476,0.2577,0.1033,5.970
101,771,4,0.9425,0.3508,0.0901,8.157
101,776,5,0.5190,0.3823,0.0562,8.737
101,781,6,0.6342,0.5915,0.1469,4.493
101,786,3,0.6861,0.3764,0.2245,3.686
101,791,6,0.6937,0.2942,0.0532,11.347
101,796,6,0.4487,0.8549,0.1414,3.945
101,801,2,1.1136,0.5474,0.1856,1.840
101,806,5,0.9677,0.0647,0.0484,9.681
101,811,6,0.9525,0.5467,0.1260,5.424
101,816,6,0.7611,0.6998,0.1780,3.910
101,821,6,0.7294,0.9759,0.1049,10.285
101,826,7,0.7151,0.8851,0.1425,4.670
101,831,3,1.8483,0.2355,0.1379,15.248
101,836,5,1.5689,1.1948,0.2886,3.499
101,841,4,1.5521,0.6260,0.1856,4.161
101,846,1,1.3014,1.1849,0.2152,5.363
101,851,3,0.8047,1.0135,0.2067,13.131
101,856,7,0.6416,1.6154,0.1750,3.480
101,861,5,0.4715,0.3258,0.1543,5.302
101,866,3,0.8995,2.1630,0.5091,3.223
101,871,5,0.8436,1.6062,0.2524,7.001
101,876,7,0.4435,2.1005,0.3659,3.367
101,881,7,0.1905,2.1332,0.3431,6.588
101,886,3,2.2339,0.3836,0.0840,5.363
101,891,4,1.3384,1.2346,0.3156,4.131
101,896,6,1.0009,1.5163,0.2937,6.110
101,901,5,0.8914,1.5871,0.2434,5.623
101,906,4,0.9667,2.3313,0.4093,6.239
101,911,5,0.6917,0.8617,0.2303,5.418
101,916,7,0.6933,1.6278,0.3248,6.092
101,921,7,0.7273,1.6419,0.3275,21.504
101,926,6,0.6527,1.1874,0.3463,16.183
101,931,7,0.3531,2.2959,0.3622,13.198
101,936,7,0.2660,1.8318,0.4474,13.007
101,941,7,0.2079,1.8764,0.3123,25.502
101,946,6,0.3729,2.0978,0.3246,8.013
101,951,7,0.1692,2.5191,0.4388,21.754
101,956,7,0.1647,2.5058,0.3605,15.839
101,961,7,0.1866,2.5308,0.3046,8.670
101,966,7,0.1573,2.8412,0.5481,8.700
101,971,7,0.1538,3.0440,0.3187,10.454
101,976,7,0.1860,2.9661,0.6209,15.397
101,981,7,0.1771,2.8610,0.3093,8.024
101,986,7,0.2409,2.8673,0.5268,9.150
101,991,7,0.1629,3.4533,0.4478,5.421
101,996,7,0.1198,3.3482,0.5178,16.428
101,1001,7,0.2410,3.0430,0.6230,7.750
101,1006,7,0.1856,3.1770,0.5959,8.992
101,1011,7,0.1043,3.3866,0.4362,14.017
101,1016,7,0.1474,3.4515,0.6542,35.571
101,1021,7,0.1419,3.4889,0.6473,11.134
101,1026,7,0.1095,3.4930,0.4521,14.703
101,1031,7,0.1045,3.5974,0.5862,9.239
101,1036,7,0.1227,3.6922,0.5655,12.257
101,1041,7,0.1451,3.5579,0.6483,15.660
101,1046,7,0.1170,3.3486,0.3979,10.957
101,1051,7,0.1136,3.3044,0.5828,29.582
101,1056,7,0.1220,3.3494,0.5014,31.516
101,1061,7,0.1146,3.4789,0.7929,16.316
101,1066,7,0.0977,3.6419,0.5728,18.869
101,1071,7,0.0999,3.7163,0.4516,26.813
101,1076,7,0.0897,3.9528,0.6244,14.278
101,1081,7,0.0988,3.6921,0.5689,23.500
101,1086,7,0.1012,3.8407,0.8260,32.565
101,1091,7,0.0979,3.9830,0.4836,28.267
101,1096,7,0.0929,3.8468,0.7264,23.452
101,1101,7,0.1000,3.8684,0.6557,20.315
101,1106,7,0.0956,3.8419,0.3705,43.700
101,1111,7,0.1101,3.8052,0.4825,16.685
101,1116,7,0.1006,3.9077,0.5507,20.538
101,1121,7,0.0950,3.8424,0.6769,22.951
101,1126,7,0.1031,3.8006,0.6910,61.521
101,1131,7,0.1092,3.9140,0.5508,67.679
101,1136,7,0.1054,4.0356,0.7849,14.719
101,1141,7,0.1023,4.0613,0.6814,77.115
101,1146,7,0.1046,4.0524,0.8187,29.609
101,1151,7,0.1061,4.0705,0.8505,27.647
101,1156,7,0.1065,3.9982,0.7330,19.652
101,1161,7,0.1068,3.9832,0.5595,70.917
101,1166,7,0.1062,4.0249,0.6605,183.333
101,1171,7,0.1058,4.0420,0.7494,68.600
101,1176,7,0.1047,4.0172,0.4914,117.600
101,1181,7,0.1031,4.0067,0.8298,32.138
101,1186,7,0.1016,4.0212,0.6066,46.519
101,1191,7,0.1002,4.0226,0.6020,13.449
101,1196,7,0.0991,4.0197,0.8779,44.879
202,1,0,2.9410,0.0543,0.0241,39.852
202,6,0,2.6861,-0.1162,-0.0372,16.546
202,11,0,4.0448,-0.1188,0.0021,33.480
202,16,0,6.9792,0.0895,0.0239,14.320
202,21,0,2.9281,0.0089,-0.0139,23.636
202,26,0,2.8948,0.0258,0.0299,2.392
202,31,0,4.6703,0.0784,0.0421,3.711
202,36,0,3.2941,0.1037,0.0249,6.216
202,41,0,5.7776,-0.1132,0.0482,3.010
202,46,0,2.6079,-0.0270,0.0420,4.165
202,51,0,2.6303,0.0401,-0.0197,10.506
202,56,0,3.3484,0.0472,0.0775,2.046
202,61,1,2.9521,0.1060,0.0557,3.480
202,66,1,2.8040,0.0528,0.0814,5.142
202,71,0,2.8366,-0.1878,0.0691,5.095
202,76,0,3.7182,-0.0228,0.0987,1.921
202,81,0,3.8680,-0.0535,0.0653,3.000
202,86,0,1.8527,0.2424,0.1116,2.925
202,91,0,1.6583,0.0036,0.0431,7.322
202,96,2,2.7746,-0.0748,0.0339,2.160
202,101,2,1.7210,-0.0290,0.0358,3.929
202,106,1,5.9964,0.1595,0.1339,1.305
202,111,1,2.3102,0.0933,0.1005,5.366
202,116,0,2.2981,0.0428,0.0848,5.499
202,121,0,3.6822,0.0273,0.1058,2.321
202,126,0,4.0498,-0.0928,0.1543,2.117
202,131,1,3.3841,-0.1760,0.1011,1.470
202,136,0,3.6829,0.1094,0.1172,1.833
202,141,0,3.5453,0.2517,0.1593,2.544
202,146,0,2.7694,0.5811,0.3593,1.306
202,151,0,6.3438,0.4744,0.1839,31.488
202,156,0,2.9382,-0.0822,0.0624,2.238
202,161,0,2.7507,0.1408,0.0830,1.742
202,166,1,2.3823,0.2915,0.1790,5.162
202,171,1,2.3307,0.3020,0.1900,4.826
202,176,2,4.7663,-0.1470,0.0885,2.939
202,181,2,5.8063,-0.0015,0.1095,7.754
202,186,0,3.3319,0.5717,0.2524,6.504
202,191,0,2.5303,0.0487,0.0560,4.361
202,196,0,3.2620,-0.1957,0.1468,3.389
202,201,0,2.6920,-0.0901,0.1840,2.231
202,206,1,3.3384,0.1366,0.1335,3.379
202,211,0,2.6646,0.1212,0.2183,4.015
202,216,0,4.1825,-0.0370,0.0964,6.086
202,221,0,4.3498,-0.1391,0.3066,3.568
202,226,1,2.6830,0.2199,0.1617,3.885
202,231,0,3.0000,0.2378,0.3188,2.526
202,236,0,2.5220,0.0300,0.1978,2.122
202,241,0,2.2573,0.6826,0.3431,4.670
202,246,1,3.3803,0.4568,0.3372,4.955
202,251,1,2.0330,0.2566,0.1986,2.906
202,256,1,2.1008,-0.0986,0.1615,4.796
202,261,0,2.3874,-0.0308,0.2467,6.071
202,266,0,2.6533,0.0293,0.2622,9.028
202,271,0,4.3874,0.2650,0.2660,2.562
202,276,0,2.6149,0.1378,0.2329,5.813
202,281,0,2.5604,0.0289,0.1755,4.442
202,286,0,2.3702,0.1761,0.2084,1.570
202,291,0,2.5354,0.0922,0.1843,5.198
202,296,0,2.7365,0.0247,0.2327,2.163
202,301,2,2.6863,0.4709,0.2545,1.829
202,306,4,1.9791,0.1585,0.2144,5.018
202,311,0,2.0552,0.2216,0.2135,2.862
202,316,3,1.1949,0.4244,0.1894,2.693
202,321,2,2.5356,0.4091,0.1919,2.690
202,326,2,1.7678,-0.1215,0.2366,3.996
